yy,flag,eez,alb_kg,alb_mt,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt,oth_kg,oth_mt
1993,CN,I1,0,0,439316,439.316,0,0,307863,307.863,0,0
1993,CN,I3,0,0,988,0.988,0,0,553,0.553,0,0
1993,CN,I4,0,0,280146,280.146,0,0,263509,263.509,0,0
1993,CN,I5,0,0,280146,280.146,0,0,263509,263.509,0,0
1993,CN,I7,220,0.220,0,0,0,0,0,0,0,0
1993,CN,MH,0,0,25885,25.885,0,0,14951,14.951,0,0
1993,CN,PW,110,0.110,955057,955.057,0,0,716995,716.995,0,0
1993,FJ,FJ,463000,463,204000,204,0,0,319000,319,0,0
1993,FM,FM,0,0,34973.200,34.973,0,0,55684.467,55.684,0,0
1993,FM,I1,0,0,5026.800,5.027,0,0,5315.533,5.316,0,0
1993,ID,ID,0,0,2522000,2522,0,0,11221000,11221,0,0
1993,JP,AU,1918642.958,1918.643,287629.139,287.629,12169,12.169,2117758.985,2117.759,0,0
1993,JP,FM,54271.061,54.271,4543965.050,4543.965,0,0,4908335.997,4908.336,0,0
1993,JP,GL,287.993,0.288,518581.070,518.581,0,0,762797.060,762.797,0,0
1993,JP,I1,30605.145,30.605,529432.721,529.433,0,0,562035.233,562.035,0,0
1993,JP,I2,8811.004,8.811,747148.467,747.148,29.862,0.030,917193.172,917.193,0,0
1993,JP,I3,37605.627,37.606,1683642.004,1683.642,0,0,1820592.173,1820.592,0,0
1993,JP,I4,129231.575,129.232,4834738.420,4834.738,5170.664,5.171,3970676.580,3970.677,0,0
1993,JP,I5,161807.358,161.807,5309479.534,5309.480,8534.084,8.534,2580996.751,2580.997,0,0
1993,JP,I6,10393820.805,10393.821,8580613.070,8580.613,14280.985,14.281,2841612.099,2841.612,0,0
1993,JP,I7,1460904.551,1460.905,394472,394.472,8822.756,8.823,707668.262,707.668,0,0
1993,JP,ID,0,0,5973.070,5.973,0,0,4607.068,4.607,0,0
1993,JP,IW,0,0,33415.088,33.415,0,0,11956.750,11.957,0,0
1993,JP,JP,19692334.107,19692.334,7866058.787,7866.059,297992.650,297.993,9004701.851,9004.702,0,0
1993,JP,MH,12507.986,12.508,2064629.070,2064.629,0,0,1408723.921,1408.724,0,0
1993,JP,NF,16384.068,16.384,1062.887,1.063,0,0,7612.024,7.612,0,0
1993,JP,NZ,67065.070,67.065,2886.097,2.886,0,0,24.973,0.025,0,0
1993,JP,PG,1148.927,1.149,178882.968,178.883,0,0,149766.903,149.767,0,0
1993,JP,PW,519.927,0.520,68122.098,68.122,0,0,71318.027,71.318,0,0
1993,JP,SB,515052.019,515.052,527269.087,527.269,0,0,1846621.913,1846.622,0,0
1993,KR,CK,212,0.212,3492,3.492,0,0,1441,1.441,0,0
1993,KR,FM,0,0,14460,14.460,0,0,8577,8.577,0,0
1993,KR,GL,5544,5.544,416848,416.848,0,0,507271,507.271,0,0
1993,KR,H4,5857,5.857,38433,38.433,0,0,81606,81.606,0,0
1993,KR,H5,5568,5.568,186101,186.101,0,0,131209,131.209,0,0
1993,KR,I2,1821,1.821,82059,82.059,0,0,66356,66.356,0,0
1993,KR,I4,405333.995,405.334,5322648.570,5322.649,1440,1.440,3021410.544,3021.411,0,0
1993,KR,I5,405333.995,405.334,5322648.570,5322.649,1440,1.440,3021410.544,3021.411,0,0
1993,KR,I9,15,0.015,934,0.934,0,0,50,0.050,0,0
1993,KR,LN,64437,64.437,1520628,1520.628,120,0.120,906456,906.456,0,0
1993,KR,MH,0,0,2202,2.202,0,0,1555,1.555,0,0
1993,KR,PF,40359,40.359,319690,319.690,0,0,143793,143.793,0,0
1993,KR,PX,39097,39.097,664866,664.866,0,0,779449,779.449,0,0
1993,KR,TV,422,0.422,16990,16.990,0,0,33416,33.416,0,0
1993,MH,MH,0,0,67000,67,0,0,70000,70,0,0
1993,NC,I7,4878.206,4.878,1432.089,1.432,0,0,679.931,0.680,0,0
1993,NC,MA,2513.236,2.513,483.728,0.484,0,0,564.541,0.565,0,0
1993,NC,NC,747608.558,747.609,104084.184,104.084,0,0,431755.528,431.756,0,0
1993,NZ,I7,14626.620,14.627,8026.240,8.026,0,0,2604.710,2.605,0,0
1993,NZ,NZ,330373.380,330.373,65973.760,65.974,0,0,11395.290,11.395,0,0
1993,PF,PF,714000,714,163000,163,25000,25,366000,366,0,0
1993,PG,PG,0,0,0,0,0,0,8000,8,0,0
1993,PH,PH,0,0,59000,59,0,0,484000,484,0,0
1993,PW,PW,1000,1,66000,66,0,0,39000,39,0,0
1993,TO,TO,231000,231,34000,34,0,0,64000,64,0,0
1993,TW,CK,248924,248.924,23652,23.652,7,0.007,19366,19.366,0,0
1993,TW,FJ,983363,983.363,6298,6.298,30,0.030,22642,22.642,0,0
1993,TW,FM,275,0.275,1623809,1623.809,0,0,972554,972.554,0,0
1993,TW,H5,1126,1.126,222,0.222,0,0,187,0.187,0,0
1993,TW,I1,570,0.570,1082393.200,1082.393,0,0,744099.300,744.099,0,0
1993,TW,I2,301,0.301,290,0.290,0,0,683,0.683,0,0
1993,TW,I3,0,0,463882.800,463.883,0,0,318899.700,318.900,0,0
1993,TW,I4,0,0,288681.500,288.682,56416.500,56.417,659657.508,659.658,0,0
1993,TW,I5,0,0,288681.500,288.682,56416.500,56.417,659657.508,659.658,0,0
1993,TW,I6,121000,121,352500,352.500,12300,12.300,2535300,2535.300,0,0
1993,TW,I7,13216443.340,13216.443,0,0,0,0,0,0,0,0
