"","eez","Dist"
"678","Marshall Islands",49342.960408572
"679","Phoenix Group",8022.89320018844
"680","French Polynesia",175100.544026758
"681","Solomon Islands",31206.9636412856
"682","Jarvis Island",8844.45365073539
"683","Marshall Islands",150718.948084447
"684","Johnston Atoll",95707.9036708863
"685","Micronesia",105356.824972169
"686","Marshall Islands",46942.309067337
"687","Papua New Guinea",55512.3069421054
"688","French Polynesia",3653.81466220779
"689","Micronesia",40215.6747039948
"690","Palmyra Atoll",46568.4490760863
"691","Papua New Guinea",165989.670279896
"692","Marshall Islands",159467.435370019
"693","Marshall Islands",19321.2270283358
"694","Hawaii",121346.167029048
"695","Micronesia",181909.314158863
"696","Solomon Islands",98756.7959898519
"697","Howland and Baker islands",15651.6897913603
"698","Line Group",80226.7009441058
"699","Micronesia",1512.52890996213
"700","French Polynesia",72779.3949001577
"701","Micronesia",54552.3794424911
"702","Marshall Islands",154862.241740778
"703","Marshall Islands",115291.558924672
"704","Jarvis Island",160788.457667134
"705","French Polynesia",83139.246861878
"706","Johnston Atoll",98152.7027550275
"707","Nauru",132436.113946315
"708","Indonesia",1623.36453400569
"709","Japan",72526.7153623148
"710","French Polynesia",89535.8381163438
"711","Micronesia",17299.8013001258
"712","Line Group",89928.5909435054
"713","Micronesia",61916.195628154
"714","Palmyra Atoll",153239.319859944
"715","Jarvis Island",74694.4325795844
"716","Micronesia",16258.3800156361
"717","Palmyra Atoll",43414.509529111
"718","Marshall Islands",181270.074558737
"719","French Polynesia",105803.314978363
"720","Wake Island",110244.11796627
"721","Northern Mariana Islands",77473.5005568084
"722","Japan",151967.634042526
"723","Palmyra Atoll",40878.9692074654
"724","Marshall Islands",143486.006540884
"725","Johnston Atoll",161474.789964207
"726","Northern Mariana Islands",64575.0639492849
"727","Nauru",39415.5995231297
"728","French Polynesia",63582.6097713607
"729","Line Group",139889.979995652
"730","Johnston Atoll",51827.0230730588
"731","Marshall Islands",96290.5311650628
"732","Solomon Islands",51734.8325741809
"733","Micronesia",42221.1448166376
"734","French Polynesia",57418.8918703327
"735","Line Group",76140.8777132035
"736","Micronesia",124350.303248019
"737","Marshall Islands",78740.6960947635
"738","Solomon Islands",10118.9281922293
"739","French Polynesia",150605.877991604
"740","Marshall Islands",27389.4966227443
"741","Indonesia",101046.498665151
"742","Wake Island",39131.4029106967
"743","Line Group",29065.5242541897
"744","Hawaii",169157.331825325
"745","Micronesia",86913.1163508401
"746","Jarvis Island",32850.4205832522
"747","Northern Mariana Islands",49787.6357428094
"748","Philippines",121642.743177418
"749","Solomon Islands",45033.7029104217
"750","Hawaii",103714.769515088
"751","Marshall Islands",70360.2371910822
"752","French Polynesia",138382.20459682
"753","French Polynesia",44986.273119664
"754","Northern Mariana Islands",83062.0128795387
"755","Johnston Atoll",140984.685666698
"756","Palmyra Atoll",172822.290231657
"757","Line Group",69708.8203724427
"758","Solomon Islands",91188.2631980488
"759","Jarvis Island",124224.077296479
"760","Marshall Islands",21735.08994403
"761","Philippines",96766.7310177407
"762","Johnston Atoll",181503.913688337
"763","Northern Mariana Islands",8264.66983378054
"764","Palmyra Atoll",91549.7273795838
"765","Howland and Baker islands",183187.093511299
"766","Palmyra Atoll",83437.2609378513
"767","Hawaii",76792.6325914657
"768","Tuvalu",68038.6049507748
"769","Wake Island",96334.0023777349
"770","French Polynesia",169824.245705348
"771","Indonesia",27391.2306147318
"772","Gilbert Islands",81951.2347516511
"773","Tuvalu",23651.824887826
"774","Micronesia",40291.2961684625
"775","Cook Islands",13040.0934764009
"776","Phoenix Group",90713.8499673616
"777","Cook Islands",24368.3933215244
"778","Micronesia",133999.428423736
"779","Palmyra Atoll",124433.660983983
"780","Howland and Baker islands",112856.504972744
"781","Hawaii",110576.406445157
"782","Hawaii",67766.9016791634
